metric,value
coverage,0.46236559139784944
precision,0.6515151515151515
recall,0.46236559139784944
errors,{"hallucinations": 0, "plausible_out_of_ontology": 23, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,35
structural.hierarchy_coverage,0.5757575757575758
relations.n_generated,66
relations.n_gold,18
relations.precision,0.5758
relations.recall,0.2222
relations.per_gold_relation.hasDemographicData,False
relations.per_gold_relation.hasSurgicalProcedure,False
relations.per_gold_relation.hasMonitoringData,True
relations.per_gold_relation.receivesTherapy,True
relations.per_gold_relation.targetsCondition,True
relations.per_gold_relation.monitoringIndicatesCondition,False
relations.per_gold_relation.hasClinicalAssessment,False
relations.per_gold_relation.hasOutcome,True
relations.per_gold_relation.hasLaboratoryValue,False
relations.per_gold_relation.hasNursingIntervention,False
relations.per_gold_relation.hasSession,False
relations.per_gold_relation.hasTimepoint,False
relations.per_gold_relation.hasObservation,False
relations.per_gold_relation.measuresParameter,False
relations.per_gold_relation.producedBySensor,False
relations.per_gold_relation.hasQualityAssessment,False
relations.per_gold_relation.associatedWithCondition,False
relations.per_gold_relation.affectedByTreatment,False
hierarchy.n_generated,35
hierarchy.n_gold,76
hierarchy.precision,0.4571
hierarchy.recall,0.2105
hierarchy.matched,16
