metric,value
coverage,1.0
precision,0.62
recall,1.0
errors,{"hallucinations": 0, "plausible_out_of_ontology": 57, "schema_violations": 0, "omissions": 0}
structural.relation_domain_range_rate,1.0
structural.hierarchy_edges,125
structural.hierarchy_coverage,0.78
relations.n_generated,389
relations.n_gold,18
relations.precision,0.3419
relations.recall,0.8889
relations.per_gold_relation.hasDemographicData,True
relations.per_gold_relation.hasSurgicalProcedure,True
relations.per_gold_relation.hasMonitoringData,True
relations.per_gold_relation.receivesTherapy,True
relations.per_gold_relation.targetsCondition,True
relations.per_gold_relation.monitoringIndicatesCondition,True
relations.per_gold_relation.hasClinicalAssessment,True
relations.per_gold_relation.hasOutcome,True
relations.per_gold_relation.hasLaboratoryValue,True
relations.per_gold_relation.hasNursingIntervention,True
relations.per_gold_relation.hasSession,True
relations.per_gold_relation.hasTimepoint,True
relations.per_gold_relation.hasObservation,False
relations.per_gold_relation.measuresParameter,True
relations.per_gold_relation.producedBySensor,True
relations.per_gold_relation.hasQualityAssessment,True
relations.per_gold_relation.associatedWithCondition,True
relations.per_gold_relation.affectedByTreatment,False
hierarchy.n_generated,125
hierarchy.n_gold,76
hierarchy.precision,0.608
hierarchy.recall,1.0
hierarchy.matched,76
